,Rank,Company,Headquarter,RetailSales2014,USASalesGrowth,WorldwideRetailSales,USAPercentageOfWorldwideSales,Stores2014,Growth
1,1,Wal-Mart Stores,"Bentonville, Ark.","$343,624,000 ",2.80%,"$508,465,000 ",67.60%,"5,109",6.90%
2,2,The Kroger Co.,"Cincinnati, Ohio","$103,033,000 ",10.10%,"$103,033,000 ",100.00%,"3,730",5.90%
3,3,Costco,"Issaquah, Wash.","$79,694,000 ",6.60%,"$111,530,000 ",71.50%,464,3.80%
4,4,The Home Depot,Atlanta,"$74,203,000 ",3.60%,"$83,195,000 ",89.20%,"1,965",0.00%
5,5,Walgreen,"Deerfield, Ill.","$72,671,000 ",5.80%,"$75,085,000 ",96.80%,"8,157",1.10%
6,6,Target,Minneapolis,"$72,618,000 ",1.90%,"$74,564,000 ",97.40%,"1,790",-0.20%
7,7,CVS Caremark,"Woonsocket, R.I.","$67,974,000 ",3.60%,"$69,132,000 ",98.30%,"7,808",2.40%
8,8,Lowe's Companies,"Mooresville, N.C.","$54,805,000 ",5.10%,"$56,203,000 ",97.50%,"1,793",4.40%
9,9,Amazon.com,Seattle,"$49,353,000 ",22.60%,"$83,391,000 ",59.20%,N/A,N/A
10,10,Safeway,"Pleasanton, Calif.","$36,330,000 ",-2.10%,"$36,330,000 ",100.00%,"1,326",-0.50%
11,11,Best Buy,"Richfield, Minn.","$35,957,000 ",0.10%,"$42,437,000 ",84.70%,"1,445",-3.20%
12,12,McDonald's,"Oak Brook, Ill.","$35,447,000 ",-1.10%,"$87,786,000 ",40.40%,"14,350",0.50%
13,13,Publix Super Markets,"Lakeland, Fla.","$30,560,000 ",5.70%,"$30,560,000 ",100.00%,"1,296",1.80%
14,14,Apple Store / iTunes,"Cupertino, Calif.","$28,380,000 ",6.50%,"$32,879,000 ",86.30%,259,2.00%
15,15,Macy's,"Cincinnati, Ohio","$28,027,000 ",0.60%,"$28,105,000 ",99.70%,821,-1.90%
16,16,Rite Aid,"Camp Hill, Pa.","$26,528,000 ",3.90%,"$26,528,000 ",100.00%,"4,570",-0.40%
17,17,Royal Ahold / Ahold USA,"Carlisle, Pa.","$25,976,000 ",-0.50%,"$44,121,000 ",58.90%,768,0.10%
18,18,Sears Holdings,"Hoffman Estates, Ill.","$25,763,000 ",-11.80%,"$26,792,000 ",96.20%,"1,659",-12.90%
19,19,TJX,"Framingham, Mass.","$22,206,000 ",5.70%,"$29,061,000 ",76.40%,"2,569",4.70%
20,20,H-E-B Grocery,"San Antonio, Texas","$19,819,000 ",5.70%,"$21,166,000 ",93.60%,317,1.90%
21,21,YUM! Brands,"Louisville, Ky.","$19,727,000 ",2.60%,"$31,051,000 ",63.50%,"17,326",1.00%
22,22,Albertsons,"Boise, Idaho","$19,458,000 ",0.00%,"$19,458,000 ",100.00%,"1,108",8.20%
23,23,Kohl's,"Menomonee Falls, Wis.","$19,023,000 ",0.00%,"$19,023,000 ",100.00%,"1,162",0.30%
24,24,Dollar General,"Googlettsville, Tenn.","$18,910,000 ",8.00%,"$18,910,000 ",100.00%,"11,789",5.90%
25,25,Delhaize America,"Salisbury, N.C.","$17,069,000 ",-8.80%,"$28,417,000 ",60.10%,"1,361",-10.10%
26,26,Meijer,"Grand Rapids, Mich.","$15,689,000 ",0.30%,"$15,689,000 ",100.00%,213,4.40%
27,27,WakeFern / ShopRite,"Keasbey, N.J.","$14,985,000 ",6.30%,"$14,985,000 ",100.00%,330,5.40%
28,28,Ace Hardware,"Oak Brook, Ill.","$14,299,000 ",18.70%,"$14,345,000 ",99.70%,"4,251",1.90%
29,29,BJ's Wholesale Club,"Westborough, Mass.","$13,811,000 ",6.50%,"$13,811,000 ",100.00%,210,4.50%
30,30,Whole Foods Market,"Austin, Texas","$13,642,000 ",9.70%,"$14,060,000 ",97.00%,381,9.80%
31,31,Doctor's Assoc. / Subway,"Milford, Conn.","$13,389,000 ",4.10%,"$24,355,000 ",55.00%,"27,062",1.60%
32,32,Nordstrom,Seattle,"$13,259,000 ",7.50%,"$13,280,000 ",99.80%,283,8.80%
33,33,Gap,San Francisco,"$13,071,000 ",2.00%,"$16,956,000 ",77.10%,"2,465",1.40%
34,34,AT&T Wireless,Dallas,"$12,960,000 ",55.30%,"$12,960,000 ",100.00%,"2,156",-0.20%
35,35,J.C. Penney Co.,"Plano, Texas","$12,184,000 ",3.30%,"$12,257,000 ",99.40%,"1,063",-2.20%
36,36,Aldi,"Batavia, Ill.","$11,728,000 ",7.60%,"$53,522,000 ",21.90%,"1,376",3.60%
37,37,Bed Bath & Beyond,"Union, N.J.","$11,708,000 ",3.20%,"$11,878,000 ",98.60%,"1,466",0.90%
38,38,SUPERVALU,"Eden Prairie, Minn.","$11,499,000 ",4.90%,"$11,499,000 ",100.00%,"1,557",0.80%
39,39,7-Eleven,Dallas,"$11,390,000 ",2.40%,"$88,025,000 ",12.90%,"8,154",0.80%
