"","Rank","Company","City","State","RetailSales2014","USASalesGrowth","WorldwideRetailSales","USAPercentageOfWorldwideSales","Stores2014","Growth"
"1",1,"Wal-Mart Stores","Bentonville"," Ark.",343624000,280,508465000,6760,5109,690
"2",2,"The Kroger Co.","Cincinnati"," Ohio",103033000,1010,103033000,10000,3730,590
"3",3,"Costco","Issaquah"," Wash.",79694000,660,111530000,7150,464,380
"4",4,"The Home Depot","Atlanta",NA,74203000,360,83195000,8920,1965,0
"5",5,"Walgreen","Deerfield"," Ill.",72671000,580,75085000,9680,8157,110
"6",6,"Target","Minneapolis",NA,72618000,190,74564000,9740,1790,20
"7",7,"CVS Caremark","Woonsocket"," R.I.",67974000,360,69132000,9830,7808,240
"8",8,"Lowe's Companies","Mooresville"," N.C.",54805000,510,56203000,9750,1793,440
"9",9,"Amazon.com","Seattle",NA,49353000,2260,83391000,5920,NA,NA
"10",10,"Safeway","Pleasanton"," Calif.",36330000,210,36330000,10000,1326,50
"11",11,"Best Buy","Richfield"," Minn.",35957000,10,42437000,8470,1445,320
"12",12,"McDonald's","Oak Brook"," Ill.",35447000,110,87786000,4040,14350,50
"13",13,"Publix Super Markets","Lakeland"," Fla.",30560000,570,30560000,10000,1296,180
"14",14,"Apple Store / iTunes","Cupertino"," Calif.",28380000,650,32879000,8630,259,200
"15",15,"Macy's","Cincinnati"," Ohio",28027000,60,28105000,9970,821,190
"16",16,"Rite Aid","Camp Hill"," Pa.",26528000,390,26528000,10000,4570,40
"17",17,"Royal Ahold / Ahold USA","Carlisle"," Pa.",25976000,50,44121000,5890,768,10
"18",18,"Sears Holdings","Hoffman Estates"," Ill.",25763000,1180,26792000,9620,1659,1290
"19",19,"TJX","Framingham"," Mass.",22206000,570,29061000,7640,2569,470
"20",20,"H-E-B Grocery","San Antonio"," Texas",19819000,570,21166000,9360,317,190
"21",21,"YUM! Brands","Louisville"," Ky.",19727000,260,31051000,6350,17326,100
"22",22,"Albertsons","Boise"," Idaho",19458000,0,19458000,10000,1108,820
"23",23,"Kohl's","Menomonee Falls"," Wis.",19023000,0,19023000,10000,1162,30
"24",24,"Dollar General","Googlettsville"," Tenn.",18910000,800,18910000,10000,11789,590
"25",25,"Delhaize America","Salisbury"," N.C.",17069000,880,28417000,6010,1361,1010
"26",26,"Meijer","Grand Rapids"," Mich.",15689000,30,15689000,10000,213,440
"27",27,"WakeFern / ShopRite","Keasbey"," N.J.",14985000,630,14985000,10000,330,540
"28",28,"Ace Hardware","Oak Brook"," Ill.",14299000,1870,14345000,9970,4251,190
"29",29,"BJ's Wholesale Club","Westborough"," Mass.",13811000,650,13811000,10000,210,450
"30",30,"Whole Foods Market","Austin"," Texas",13642000,970,14060000,9700,381,980
"31",31,"Doctor's Assoc. / Subway","Milford"," Conn.",13389000,410,24355000,5500,27062,160
"32",32,"Nordstrom","Seattle",NA,13259000,750,13280000,9980,283,880
"33",33,"Gap","San Francisco",NA,13071000,200,16956000,7710,2465,140
"34",34,"AT&T Wireless","Dallas",NA,12960000,5530,12960000,10000,2156,20
"35",35,"J.C. Penney Co.","Plano"," Texas",12184000,330,12257000,9940,1063,220
"36",36,"Aldi","Batavia"," Ill.",11728000,760,53522000,2190,1376,360
"37",37,"Bed Bath & Beyond","Union"," N.J.",11708000,320,11878000,9860,1466,90
"38",38,"SUPERVALU","Eden Prairie"," Minn.",11499000,490,11499000,10000,1557,80
"39",39,"7-Eleven","Dallas",NA,11390000,240,88025000,1290,8154,80
"40",40,"Ross Stores","Pleasanton"," Calif.",11032000,790,11042000,9990,1361,670
"41",41,"Verizon Wireless","Basking Ridge"," N.J.",10959000,3510,10959000,10000,7024,260
"42",42,"Starbucks","Seattle",NA,10604000,1350,16448000,6450,12560,960
"43",43,"Family Dollar Stores","Matthews"," N.C.",10489000,90,10489000,10000,8042,160
"44",44,"Bi-Lo","Jacksonville"," Fla.",10362000,1640,10362000,10000,800,1980
"45",45,"L Brands","Columbus"," Ohio",10303000,1020,10966000,9400,2685,140
"46",46,"Menard","Eau Claire"," Wis.",9689000,360,9689000,10000,287,250
"47",47,"Trader Joe's","Monrovia"," Calif.",9388000,810,37606000,2500,447,590
"48",48,"Wendy's","Dublin"," Ohio",8886000,140,9388000,9470,5750,70
"49",49,"Burger King Worldwide","Miami",NA,8517000,60,17110000,4980,7128,40
"50",50,"Dollar Tree","Chesapeake"," Va.",8390000,940,8596000,9760,5157,720
"51",51,"Hy-Vee","West Des Moines"," Iowa",7895000,410,7895000,10000,236,130
"52",52,"Army / Air Force Exchange","Dallas",NA,7738000,60,7738000,10000,610,700
"53",53,"Dunkin' Brands Group","Canton"," Mass.",7720000,640,9774000,7900,10566,420
"54",54,"Health Mart Systems","Omaha"," Neb.",7623000,260,10382000,7340,3419,690
"55",55,"AutoZone","Memphis"," Tenn.",7523000,300,9132000,8240,4947,300
"56",56,"Toys ""R"" Us","Wayne"," N.J.",7450000,130,14561000,5120,1132,10
